1,Garlic Paste,Dairy & Eggs,100.85,128,50,Mike Storage Solutions
2,Frozen Pasta Primavera with Nutritious Smoothie Dressing,Baking Essentials,77.85,275,120,November Supply Chain Depot
3,Frozen Pasta Primavera with Tarragon Sauce,Snacks & Sweets,131.19,370,100,Juliet Shipping Terminal
4,Frozen Lobster Tails,Deli & Prepared Foods,34.32,89,10,Tango Shipping Depot
5,Frozen Pasta Primavera with Elevated Pleasure Smoothie Dressing,Bakery,71.66,300,100,Foxtrot Logistics Hub
6,Frozen Mini Tacos,Meat & Poultry,80.71,104,50,Yankee Supply Depot
7,Frozen Sweet Potato Fries,Dairy & Eggs,104.58,498,120,Romeo Distribution Hub
8,Stuffed Bell Peppers,Frozen Foods,100.99,585,150,Mike Storage Solutions
9,Pancake Mix,Beverages,133.47,459,120,Echo Supply Depot
10,Frozen Pasta Primavera with Elevated Consciousness Smoothie Dressing,Seafood,75.92,211,80,Sierra Stockpile Facility
11,Vanilla Cupcakes,Condiments & Sauces,96.06,310,200,Kilo Distribution Center
12,Frozen Pasta Primavera with Elevated Understanding Smoothie Dressing,Cooking Essentials,136.93,435,100,Sierra Stockpile Facility
13,Falafel Mix,Snacks & Sweets,56.91,139,50,Delta Freight Warehouse
14,Frozen Pasta Primavera with Funfetti Dressing,Seafood,21.82,169,50,Romeo Distribution Hub
15,Frozen Pasta Primavera with Elevated Realness Smoothie Dressing,Dairy & Eggs,30.27,148,30,Hotel Inventory Warehouse
16,Frozen Pasta Primavera with Elevated Empathy Smoothie Dressing,Frozen Foods,33.81,108,10,Oscar Freight Facility
17,Frozen Pasta Primavera with Creamy Balsamic Dressing,Baking Essentials,124.9,85,30,Delta Freight Warehouse
18,Frozen Pasta Primavera with Asparagus,Baking Essentials,47.15,144,30,Echo Supply Depot
19,Frozen Pasta Primavera with Elevated Influence Smoothie Dressing,Deli & Prepared Foods,70.47,552,150,Hotel Inventory Warehouse
20,Frozen Pasta Primavera with Vegan Smoothie Dressing,Fruits & Vegetables,61.4,75,10,Gamma Cargo Facility
21,Eggplant Parmesan,Fruits & Vegetables,147.71,470,200,Sierra Stockpile Facility
22,Cornmeal,Meat & Poultry,44.95,456,200,India Transport Center
23,Frozen Pie,Cooking Essentials,133.44,504,120,Kilo Distribution Center
24,Frozen Pasta Carbonara,Condiments & Sauces,135.37,407,200,Alpha Distribution Center
25,Frozen Pasta Primavera with Kit Kat Dressing,Cooking Essentials,148.07,480,150,Quebec Cargo Center
26,Frozen Pasta Primavera with Raspberry Lemonade Dressing,Baking Essentials,87.14,267,80,Romeo Distribution Hub
27,Frozen Pasta Primavera with Wellness Smoothie Dressing,Dairy & Eggs,8.76,316,150,Sierra Stockpile Facility
28,Frozen Pasta Primavera with Natural Sweetener Smoothie Dressing,Condiments & Sauces,64.61,122,10,Romeo Distribution Hub
29,Frozen Pasta Primavera with Cranberry Apple Dressing,Frozen Foods,149.19,187,80,X-ray Inventory Warehouse
30,Frozen Dinner Kits,Beverages,113.61,264,80,Delta Freight Warehouse
31,Frozen Pasta Primavera with Inspiring Smoothie Dressing,Bakery,43.76,58,30,Romeo Distribution Hub
32,Frozen Pasta Primavera with Grand Smoothie Dressing,Fruits & Vegetables,63.31,407,120,Sierra Stockpile Facility
33,Frozen Pasta Primavera with Elevated Clarity Smoothie Dressing,Bakery,128.23,454,100,Zulu Distribution Center
34,Frozen Burritos,Meat & Poultry,75.07,572,200,Mike Storage Solutions
35,Frozen Pasta Primavera with Coconut Dressing,Snacks & Sweets,9.03,513,150,India Transport Center
36,Frozen Pasta Primavera with Elevated Adaptability Smoothie Dressing,Fruits & Vegetables,92.2,98,30,Foxtrot Logistics Hub
37,Rich Greek Yogurt,Cooking Essentials,81.36,232,100,Victor Logistics Center
38,Frozen Pasta Primavera with Twix Dressing,Seafood,50.21,111,30,Oscar Freight Facility
39,Frozen Waffles,Deli & Prepared Foods,79.36,137,30,Zulu Distribution Center
40,Frozen Pasta Primavera with Elevated Discovery Smoothie Dressing,Snacks & Sweets,58.57,276,80,Alpha Distribution Center
41,Frozen Pasta Primavera with Kiwi Dressing,Seafood,127.85,278,80,Mike Storage Solutions
42,Frozen Pasta Primavera with Inspired Smoothie Dressing,Canned & Jarred,13.45,523,100,Victor Logistics Center
43,Frozen Fish Cake,Condiments & Sauces,99.02,487,150,India Transport Center
44,Sugar Cookies,Dairy & Eggs,125.04,506,150,Alpha Distribution Center
45,Frozen Pasta Primavera with Elevated Energy Smoothie Dressing,Bakery,149.56,363,120,Echo Supply Depot
46,Frozen Pasta Primavera with Chocolate Dipped Cone Dressing,Fruits & Vegetables,26.73,260,80,Oscar Freight Facility
47,Frozen Pasta Primavera with Elevated Fulfillment Smoothie Dressing,Seafood,122.17,133,50,November Supply Chain Depot
48,Cucumber Salad,Beverages,67.53,123,10,November Supply Chain Depot
49,Frozen Pasta Primavera with Curry Mango Dressing,Snacks & Sweets,25.36,75,10,Uniform Storage Solutions
50,Frozen Pasta Primavera with Elevated Insight Smoothie Dressing,Frozen Foods,74.39,150,30,Alpha Distribution Center
51,Quiche Lorraine,Cooking Essentials,126.51,107,10,Oscar Freight Facility
52,Frozen Salmon Fillets,Baking Essentials,63.02,460,150,Quebec Cargo Center
53,Ice Cream,Canned & Jarred,95.96,124,10,Victor Logistics Center
54,Frozen Fruit Bars,Dairy & Eggs,66.26,323,80,Papa Shipping Warehouse
55,Frozen Pasta Primavera with Elevated Wisdom Smoothie Dressing,Canned & Jarred,53.13,295,80,Lima Stockroom
56,Frozen Pasta Primavera with Elevated Cultural Sensitivity Smoothie Dressing,Baking Essentials,19.32,211,80,Tango Shipping Depot
57,Sriracha,Snacks & Sweets,32.38,230,80,Alpha Distribution Center
58,Frozen Pasta Primavera with Elevated Insight Smoothie Dressing,Frozen Foods,35.48,620,120,Alpha Distribution Center
59,Greek Salad,Fruits & Vegetables,70.07,369,120,Uniform Storage Solutions
60,Frozen Pasta Primavera with Elevated Gratitude Smoothie Dressing,Fruits & Vegetables,56.7,345,120,Victor Logistics Center
61,Frozen Pasta Primavera with Creamy Avocado Dressing,Canned & Jarred,148.02,673,200,X-ray Inventory Warehouse
62,Frozen Pasta Primavera with Elevated Mind Smoothie Dressing,Canned & Jarred,8.46,594,100,Yankee Supply Depot
63,Frozen Pasta Primavera with Berry Blast Dressing,Bakery,27.35,399,150,Sierra Stockpile Facility
64,Frozen Pasta Primavera with Peach Cobbler Dressing,Seafood,148.12,447,200,Bravo Storage Solutions
65,Frozen Pasta Primavera with Fulfilled Smoothie Dressing,Dairy & Eggs,135.28,164,50,Lima Stockroom
66,Frozen Pasta Primavera with Sweet Garlic Dressing,Meat & Poultry,54.65,239,120,Juliet Shipping Terminal
67,Frozen Pasta Primavera with Balanced Nutrition Smoothie Dressing,Condiments & Sauces,5.59,78,50,Yankee Supply Depot
68,Frozen Pasta Primavera with Colorful Smoothie Dressing,Condiments & Sauces,143.99,653,200,Whiskey Freight Hub
69,Frozen Pasta Primavera with Herb Vinaigrette,Baking Essentials,25.09,512,150,Foxtrot Logistics Hub
70,Frozen Pasta Primavera with Guava Dressing,Bakery,137.98,481,150,Alpha Distribution Center
71,Frozen Pasta Primavera with Nutmeg Dressing,Fruits & Vegetables,60.29,444,150,November Supply Chain Depot
72,Frozen Pasta Bolognese,Cooking Essentials,87.85,146,30,Victor Logistics Center
73,Frozen Pasta Primavera with Renowned Smoothie Dressing,Beverages,44.08,71,30,Echo Supply Depot
74,Frozen Pasta Primavera with Elevated Class Smoothie Dressing,Condiments & Sauces,110.77,364,150,Gamma Cargo Facility
75,Frozen Pasta Primavera with Cashew Milk Smoothie Dressing,Cooking Essentials,56.29,344,200,Sierra Stockpile Facility
76,Cream of Mushroom Soup,Dairy & Eggs,99.87,268,120,Zulu Distribution Center
77,Frozen Pasta Primavera with Celebrated Smoothie Dressing,Beverages,124.45,463,200,Gamma Cargo Facility
78,Frozen Halibut,Beverages,84.51,330,80,Delta Freight Warehouse
79,Frozen Pasta Primavera with Tofu,Beverages,9.01,450,120,Bravo Storage Solutions
80,Frozen Pasta Primavera with Elevated Capability Smoothie Dressing,Seafood,19.87,141,30,Echo Supply Depot
81,Frozen Pasta Primavera with Berry Sorbet Dressing,Baking Essentials,45.38,584,120,Bravo Storage Solutions
82,Frozen Pasta Primavera with Elevated Dedication Smoothie Dressing,Condiments & Sauces,110.88,74,10,X-ray Inventory Warehouse
83,Frozen Pasta Primavera with Almond Joy Dressing,Canned & Jarred,40.48,212,80,Mike Storage Solutions
84,Frozen Pasta Primavera with Chipotle Dressing,Cooking Essentials,14,565,200,X-ray Inventory Warehouse
85,Frozen Pasta Primavera with Elevated Ambition Smoothie Dressing,Beverages,147.24,326,80,Victor Logistics Center
86,Sushi Rolls,Fruits & Vegetables,114.98,307,80,Hotel Inventory Warehouse
87,Bay Leaves,Canned & Jarred,108.55,648,200,Quebec Cargo Center
88,Frozen Pasta Primavera with Cilantro Jalapeno Dressing,Beverages,103.55,648,200,Zulu Distribution Center
89,Frozen Pasta Primavera with Elevated Achievement Smoothie Dressing,Dairy & Eggs,110.71,585,100,Echo Supply Depot
90,Frozen Cheesecake,Frozen Foods,17.2,156,50,Whiskey Freight Hub
91,Frozen Pasta Primavera with Berry Crumble Dressing,Seafood,71.74,33,10,Papa Shipping Warehouse
92,Frozen Pasta Primavera with Cheesecake Dressing,Seafood,124.37,549,100,Sierra Stockpile Facility
93,Frozen Pizza,Baking Essentials,119.28,474,200,India Transport Center
94,Frozen Pasta Primavera with Elevated Awareness Smoothie Dressing,Baking Essentials,109.64,429,150,Tango Shipping Depot
95,Frozen Pasta Primavera with Elevated Dignity Smoothie Dressing,Deli & Prepared Foods,27.92,152,50,Uniform Storage Solutions
96,Frozen Pasta Primavera with Elevated Inclusion Smoothie Dressing,Deli & Prepared Foods,14.92,132,50,Yankee Supply Depot
97,Frozen Pasta Primavera with Peach Basil Dressing,Meat & Poultry,7.74,648,150,November Supply Chain Depot
